Temperatura inicial: 10000 | População inicial aleatória 
109 99 796 | 0 347
117 100 111 | 98 93
117 100 121 | 0 299
109 99 235 | 0 308
117 100 187 | 90 92
117 100 8 | 66 67
117 100 201 | 91 91
109 99 551 | 0 203
109 99 38 | 0 113
106 100 462 | 0 212
117 100 182 | 0 185
117 100 768 | 0 272
117 100 162 | 90 92
103 95 756 | 0 320
117 100 727 | 0 290
117 100 294 | 0 206
117 100 83 | 0 230
106 100 892 | 0 344
117 100 463 | 0 366
117 100 217 | 90 92
117 100 391 | 0 291
117 100 207 | 0 161
105 96 230 | 97 95
117 100 779 | 0 195
117 100 32 | 0 142
106 100 474 | 0 281
117 100 911 | 0 370
117 100 93 | 0 253
105 96 558 | 0 311
117 100 314 | 91 78
117 100 818 | 0 423
117 100 528 | 92 95
117 100 105 | 0 397
117 100 423 | 0 274
109 99 811 | 0 333
117 100 100 | 0 201
117 100 213 | 0 262
117 100 732 | 0 332
109 99 527 | 0 259
117 100 410 | 0 286
117 100 189 | 0 144
109 99 968 | 0 368
117 100 222 | 0 492
106 100 403 | 0 314
117 100 362 | 0 382
117 100 205 | 0 128
117 100 156 | 85 74
105 96 503 | 0 311
117 100 375 | 0 304
109 99 955 | 0 373
117 100 232 | 99 97
117 100 16 | 87 93
117 100 696 | 92 95
103 95 684 | 0 209
117 100 123 | 0 354
117 100 342 | 0 188
109 99 178 | 91 91
106 100 331 | 0 245
117 100 333 | 0 421
106 100 299 | 0 394
109 99 880 | 0 226
106 100 540 | 77 81
117 100 591 | 0 238
117 100 336 | 0 344
106 100 303 | 0 222
117 100 132 | 0 306
117 100 904 | 0 302
117 100 804 | 0 147
109 99 880 | 0 311
117 100 346 | 0 380
117 100 6 | 85 95
117 100 237 | 0 359
105 96 430 | 0 254
117 100 524 | 0 346
117 100 39 | 0 188
117 100 723 | 0 335
117 100 578 | 0 165
117 100 748 | 0 421
106 100 152 | 0 184
109 99 91 | 0 129
117 100 754 | 105 96
117 100 637 | 0 212
117 100 403 | 0 242
117 100 98 | 0 304
109 99 590 | 0 326
117 100 399 | 0 282
117 100 368 | 0 221
117 100 325 | 0 163
106 100 939 | 0 371
109 99 42 | 0 141
117 100 388 | 0 304
109 99 826 | 87 93
117 100 93 | 0 242
105 96 668 | 0 328
117 100 154 | 0 349
109 99 403 | 0 304
117 100 404 | 0 319
109 99 288 | 0 322
117 100 400 | 0 264
117 100 498 | 0 320
109 99 97 | 0 371
106 100 46 | 0 312
117 100 96 | 0 328
105 96 553 | 0 341
117 100 624 | 0 231
117 100 320 | 0 232
98 93 848 | 0 241
109 99 283 | 0 156
117 100 374 | 0 243
106 100 155 | 0 293
117 100 903 | 0 292
117 100 516 | 0 363
117 100 509 | 0 124
99 97 76 | 0 172
106 100 400 | 0 241
109 99 790 | 0 243
109 99 496 | 0 357
109 99 543 | 91 91
117 100 722 | 0 271
117 100 868 | 0 347
117 100 323 | 0 243
117 100 461 | 0 367
117 100 166 | 58 48
117 100 340 | 0 325
109 99 425 | 0 232
117 100 45 | 0 312
117 100 119 | 0 243
117 100 496 | 77 73
109 99 680 | 0 209
117 100 524 | 0 267
106 100 353 | 0 164
117 100 948 | 0 123
109 99 131 | 0 209
117 100 655 | 90 92
109 99 284 | 0 346
109 99 391 | 0 397
106 100 322 | 85 100
106 100 579 | 0 304
117 100 707 | 91 78
117 100 799 | 0 230
117 100 754 | 0 363
117 100 952 | 0 354
109 99 470 | 0 206
109 99 173 | 90 92
117 100 200 | 0 319
117 100 163 | 109 99
109 99 26 | 0 324
117 100 248 | 0 207
117 100 211 | 0 404
117 100 350 | 0 338
109 99 894 | 0 283
117 100 20 | 0 338
117 100 364 | 0 220
109 99 55 | 0 323
109 99 287 | 0 326
117 100 38 | 0 280
117 100 464 | 0 295
117 100 377 | 0 314
117 100 680 | 0 290
109 99 453 | 0 221
109 99 466 | 0 345
105 96 299 | 0 332
99 97 554 | 98 93
117 100 195 | 0 271
117 100 263 | 0 140
117 100 121 | 0 273
117 100 743 | 0 254
117 100 6 | 0 285
117 100 4 | 63 76
106 100 85 | 0 272
117 100 778 | 91 91
106 100 278 | 0 264
117 100 200 | 0 294
117 100 753 | 109 99
117 100 234 | 0 140
117 100 6 | 0 214
117 100 909 | 0 306
109 99 784 | 0 377
117 100 86 | 0 180
109 99 83 | 0 287
105 96 252 | 0 221
106 100 171 | 0 280
117 100 140 | 103 95
117 100 624 | 0 319
109 99 27 | 0 306
117 100 57 | 0 187
106 100 192 | 0 141
117 100 562 | 0 392
109 99 168 | 0 366
109 99 74 | 0 188
117 100 907 | 0 310
117 100 896 | 0 245
117 100 101 | 0 264
105 96 43 | 0 243
117 100 417 | 0 241
117 100 100 | 73 70
117 100 727 | 84 88
117 100 715 | 79 85
109 99 685 | 85 95
117 100 381 | 0 341
117 100 323 | 0 331
103 95 409 | 0 143
97 95 799 | 0 193
117 100 115 | 0 194
106 100 941 | 99 97
103 95 864 | 0 262
117 100 13 | 0 217
117 100 385 | 0 122
117 100 718 | 0 255
117 100 653 | 0 166
103 95 786 | 0 133
117 100 428 | 0 280
109 99 70 | 0 204
117 100 305 | 0 352
109 99 749 | 0 372
117 100 376 | 0 321
117 100 647 | 0 172
109 99 65 | 0 226
109 99 560 | 0 246
117 100 130 | 0 316
109 99 35 | 0 279
117 100 534 | 0 299
109 99 549 | 103 95
103 95 948 | 59 65
109 99 59 | 0 290
117 100 568 | 0 347
117 100 660 | 0 297
117 100 441 | 0 276
106 100 769 | 0 274
109 99 446 | 77 81
117 100 556 | 0 160
117 100 362 | 0 172
103 95 208 | 73 88
106 100 116 | 0 286
117 100 113 | 109 99
103 95 286 | 0 261
117 100 838 | 0 418
109 99 281 | 0 144
106 100 707 | 0 287
117 100 439 | 0 363
117 100 713 | 0 256
117 100 280 | 117 100
117 100 798 | 0 133
109 99 225 | 0 326
106 100 680 | 0 379
117 100 549 | 0 191
106 100 746 | 0 290
109 99 389 | 0 323
117 100 209 | 0 176
109 99 347 | 0 325
117 100 418 | 0 416
117 100 36 | 0 135
117 100 647 | 92 95
117 100 920 | 0 267
117 100 887 | 0 343
117 100 441 | 0 173
117 100 758 | 0 216
117 100 353 | 109 99
117 100 659 | 0 245
109 99 240 | 99 97
117 100 432 | 0 238
117 100 687 | 0 217
106 100 12 | 90 92
117 100 469 | 91 91
117 100 452 | 0 186
109 99 660 | 0 233
109 99 220 | 0 235
109 99 100 | 91 91
103 95 123 | 0 368
117 100 0 | 0 385
117 100 306 | 0 254
117 100 97 | 0 349
117 100 261 | 0 356
106 100 595 | 0 124
117 100 691 | 0 304
109 99 334 | 97 95
117 100 377 | 0 257
117 100 551 | 0 301
117 100 1 | 0 342
117 100 970 | 90 92
117 100 672 | 0 166
109 99 74 | 0 171
117 100 562 | 85 100
117 100 363 | 85 100
106 100 76 | 0 342
117 100 165 | 89 98
117 100 383 | 0 306
109 99 9 | 0 268
117 100 784 | 0 351
117 100 447 | 0 332
109 99 105 | 0 264
117 100 251 | 0 320
117 100 906 | 0 392
109 99 600 | 0 259
109 99 394 | 105 96
105 96 673 | 91 78
109 99 9 | 0 437
109 99 104 | 0 181
109 99 410 | 0 238
109 99 108 | 0 330
109 99 668 | 0 249
117 100 197 | 0 221
117 100 411 | 0 212
106 100 869 | 73 88
117 100 43 | 0 368
109 99 158 | 0 198
109 99 876 | 0 197
99 97 107 | 0 238
117 100 320 | 91 91
117 100 406 | 0 262
109 99 160 | 0 268
117 100 25 | 0 222
117 100 164 | 0 243
106 100 157 | 0 307
117 100 383 | 0 334
109 99 728 | 0 161
117 100 16 | 51 64
109 99 137 | 0 174
97 95 719 | 0 449
109 99 216 | 0 157
109 99 548 | 0 223
117 100 691 | 89 98
109 99 298 | 58 66
106 100 741 | 0 148
117 100 45 | 0 243
106 100 479 | 0 207
117 100 124 | 0 330
117 100 645 | 0 232
117 100 10 | 0 302
117 100 177 | 0 363
117 100 752 | 106 100
98 93 166 | 0 269
117 100 283 | 0 307
117 100 500 | 0 183
117 100 100 | 58 66
109 99 247 | 0 352
117 100 474 | 0 272
117 100 797 | 0 326
99 97 272 | 63 76
117 100 59 | 0 225
117 100 90 | 0 249
117 100 36 | 97 95
105 96 344 | 0 297
117 100 496 | 77 86
117 100 264 | 0 124
117 100 547 | 0 253
117 100 30 | 0 399
106 100 353 | 0 187
109 99 769 | 0 306
109 99 871 | 91 91
117 100 262 | 103 95
117 100 500 | 0 172
109 99 249 | 0 180
117 100 390 | 0 176
117 100 953 | 0 235
117 100 400 | 0 324
109 99 865 | 90 92
117 100 870 | 83 90
117 100 421 | 0 336
109 99 233 | 0 294
106 100 104 | 0 224
106 100 895 | 0 215
117 100 66 | 0 295
109 99 213 | 0 209
105 96 615 | 0 396
117 100 572 | 0 283
117 100 130 | 0 243
109 99 193 | 0 302
117 100 868 | 0 166
117 100 821 | 0 246
109 99 391 | 0 261
117 100 413 | 45 55
109 99 107 | 0 283
117 100 984 | 0 232
109 99 74 | 0 299
117 100 88 | 0 206
109 99 99 | 0 211
117 100 802 | 0 216
117 100 257 | 0 221
117 100 415 | 0 188
117 100 164 | 0 230
106 100 93 | 0 318
109 99 685 | 79 85
109 99 807 | 0 389
109 99 89 | 0 128
117 100 88 | 0 238
109 99 568 | 0 238
106 100 257 | 0 319
117 100 528 | 0 210
117 100 557 | 0 251
109 99 510 | 0 321
117 100 845 | 0 198
117 100 131 | 65 69
117 100 221 | 78 98
117 100 450 | 73 70
117 100 139 | 117 100
117 100 301 | 0 280
117 100 934 | 0 328
117 100 48 | 0 244
117 100 163 | 0 311
109 99 39 | 89 98
117 100 236 | 0 299
117 100 490 | 0 246
117 100 614 | 0 363
117 100 692 | 0 426
117 100 90 | 76 69
117 100 158 | 0 352
117 100 71 | 0 287
106 100 638 | 0 260
117 100 0 | 0 136
109 99 170 | 0 187
109 99 530 | 0 225
105 96 763 | 0 251
117 100 100 | 0 291
117 100 556 | 0 342
117 100 509 | 0 292
117 100 286 | 0 228
117 100 131 | 0 328
117 100 660 | 84 88
117 100 621 | 92 95
117 100 617 | 0 323
117 100 180 | 0 330
117 100 828 | 0 352
117 100 412 | 0 161
109 99 542 | 0 224
109 99 71 | 0 138
117 100 713 | 0 283
117 100 21 | 105 96
117 100 629 | 0 187
106 100 912 | 0 199
109 99 10 | 85 95
117 100 0 | 0 396
117 100 301 | 0 226
117 100 754 | 91 78
117 100 559 | 77 86
117 100 933 | 0 202
117 100 439 | 92 95
109 99 712 | 0 203
106 100 459 | 0 242
109 99 863 | 0 264
117 100 691 | 0 401
105 96 691 | 0 255
109 99 621 | 77 73
117 100 555 | 65 69
117 100 387 | 0 421
117 100 659 | 0 392
106 100 15 | 0 209
103 95 183 | 0 466
106 100 414 | 0 253
106 100 427 | 0 275
117 100 596 | 0 124
117 100 180 | 0 445
117 100 42 | 0 146
117 100 255 | 0 232
109 99 688 | 0 323
109 99 725 | 0 323
109 99 340 | 0 307
117 100 557 | 0 242
109 99 129 | 0 346
117 100 805 | 73 88
117 100 655 | 99 97
109 99 910 | 0 224
117 100 738 | 0 256
117 100 543 | 92 95
117 100 250 | 0 219
106 100 580 | 0 176
117 100 361 | 91 91
117 100 850 | 105 96
117 100 248 | 109 99
117 100 774 | 0 303
117 100 279 | 0 286
117 100 115 | 0 368
117 100 173 | 0 279
106 100 226 | 0 252
109 99 36 | 0 323
98 93 104 | 58 48
117 100 333 | 0 366
109 99 32 | 0 191
105 96 156 | 0 247
117 100 279 | 0 364
106 100 973 | 89 98
109 99 859 | 0 176
117 100 920 | 85 100
106 100 727 | 0 325
106 100 130 | 0 203
117 100 359 | 0 246
109 99 360 | 0 249
117 100 205 | 91 91
109 99 676 | 0 242
117 100 542 | 91 91
117 100 788 | 0 223
109 99 960 | 97 95
109 99 817 | 0 245
109 99 767 | 0 278
117 100 535 | 0 188
109 99 920 | 0 347
117 100 98 | 0 257
109 99 628 | 80 91
103 95 45 | 0 378
117 100 859 | 80 91
117 100 787 | 50 47
105 96 902 | 0 193
117 100 481 | 0 444
105 96 180 | 0 129
117 100 226 | 0 246
117 100 260 | 80 91
105 96 216 | 0 418
117 100 964 | 0 283
105 96 905 | 0 214
106 100 332 | 0 202
106 100 702 | 0 309
117 100 754 | 0 323
109 99 356 | 0 301
103 95 780 | 0 394
117 100 699 | 0 290
117 100 46 | 0 115
117 100 783 | 0 143
106 100 978 | 0 304
117 100 265 | 0 418
117 100 466 | 0 316
117 100 148 | 0 385
117 100 870 | 0 304
117 100 772 | 0 279
106 100 269 | 0 264
106 100 11 | 44 43
99 97 870 | 0 264
109 99 111 | 80 91
103 95 595 | 0 306
117 100 244 | 0 404
103 95 713 | 0 180
117 100 280 | 0 201
117 100 178 | 0 351
117 100 147 | 83 90
117 100 701 | 79 85
117 100 449 | 0 228
117 100 161 | 0 224
109 99 137 | 0 221
117 100 1000 | 117 100
117 100 65 | 77 86
117 100 562 | 83 90
109 99 978 | 90 92
117 100 31 | 0 232
117 100 455 | 0 183
117 100 283 | 0 302
109 99 379 | 0 265
117 100 184 | 0 167
109 99 269 | 0 304
117 100 259 | 0 121
117 100 274 | 0 289
117 100 555 | 0 364
117 100 40 | 77 73
106 100 84 | 0 164
117 100 239 | 72 71
117 100 749 | 0 216
109 99 735 | 0 206
117 100 159 | 0 363
117 100 606 | 0 333
117 100 128 | 0 371
117 100 213 | 0 297
117 100 969 | 98 93
109 99 692 | 0 228
99 97 584 | 0 164
117 100 502 | 0 271
109 99 96 | 0 198
109 99 832 | 0 309
117 100 229 | 0 295
109 99 573 | 0 363
117 100 685 | 117 100
106 100 794 | 0 303
117 100 169 | 0 267
117 100 332 | 0 277
117 100 716 | 0 209
117 100 82 | 0 215
106 100 30 | 65 69
106 100 114 | 0 236
106 100 188 | 0 221
109 99 523 | 0 164
117 100 676 | 105 96
117 100 346 | 0 176
109 99 240 | 63 76
117 100 501 | 0 338
117 100 993 | 117 100
109 99 660 | 0 282
109 99 462 | 0 206
117 100 879 | 0 210
109 99 715 | 97 95
117 100 44 | 0 298
117 100 535 | 0 204
117 100 571 | 0 167
109 99 753 | 0 231
117 100 744 | 105 96
117 100 703 | 0 447
109 99 237 | 0 386
117 100 189 | 0 289
117 100 497 | 109 99
109 99 71 | 0 344
117 100 364 | 0 185
117 100 730 | 0 287
117 100 116 | 98 93
106 100 725 | 97 95
106 100 520 | 97 95
117 100 706 | 79 85
109 99 591 | 0 269
117 100 138 | 0 276
106 100 369 | 0 380
106 100 170 | 0 352
106 100 623 | 0 373
109 99 650 | 0 247
109 99 808 | 0 184
109 99 17 | 0 226
117 100 628 | 0 253
117 100 234 | 0 176
109 99 438 | 0 312
99 97 366 | 0 290
117 100 155 | 0 226
117 100 201 | 0 152
106 100 20 | 0 352
117 100 297 | 0 165
106 100 471 | 0 364
103 95 63 | 0 425
109 99 415 | 76 69
117 100 213 | 0 333
109 99 982 | 0 173
117 100 40 | 0 294
109 99 836 | 0 248
109 99 132 | 0 347
117 100 374 | 84 88
117 100 18 | 0 241
109 99 549 | 0 378
117 100 737 | 0 368
98 93 86 | 0 301
117 100 698 | 50 47
105 96 659 | 0 293
117 100 2 | 0 371
109 99 52 | 73 88
109 99 14 | 98 93
117 100 893 | 91 91
117 100 163 | 83 90
117 100 976 | 0 293
109 99 381 | 0 167
117 100 311 | 0 335
109 99 350 | 0 297
117 100 122 | 91 78
117 100 362 | 0 233
117 100 145 | 0 262
117 100 465 | 0 183
117 100 64 | 0 308
106 100 360 | 0 218
117 100 846 | 73 88
106 100 775 | 0 191
109 99 493 | 0 203
106 100 237 | 0 204
117 100 461 | 0 150
109 99 496 | 0 281
109 99 343 | 0 203
106 100 334 | 0 283
117 100 872 | 0 215
117 100 77 | 0 349
117 100 457 | 0 285
98 93 164 | 0 154
109 99 979 | 0 273
117 100 209 | 84 88
109 99 394 | 0 423
103 95 315 | 0 159
117 100 253 | 0 358
117 100 150 | 58 66
109 99 632 | 0 310
117 100 349 | 0 290
117 100 837 | 0 219
117 100 165 | 0 268
117 100 71 | 0 242
117 100 186 | 0 230
117 100 289 | 0 260
117 100 785 | 0 321
109 99 385 | 0 328
109 99 51 | 0 251
106 100 777 | 0 283
105 96 689 | 0 284
117 100 907 | 0 233
109 99 119 | 0 162
117 100 393 | 0 223
103 95 231 | 0 242
106 100 253 | 85 74
117 100 555 | 106 100
117 100 602 | 91 91
117 100 367 | 0 307
117 100 773 | 77 73
105 96 763 | 0 286
106 100 784 | 0 330
117 100 742 | 0 392
117 100 319 | 0 369
117 100 673 | 0 349
117 100 18 | 0 138
117 100 491 | 0 302
117 100 756 | 0 306
117 100 794 | 0 404
117 100 7 | 65 69
117 100 733 | 0 331
117 100 490 | 90 92
109 99 398 | 77 73
106 100 168 | 0 261
109 99 317 | 0 239
117 100 50 | 71 77
117 100 943 | 0 202
106 100 873 | 0 414
106 100 49 | 0 156
117 100 829 | 0 323
117 100 210 | 65 69
117 100 20 | 80 91
105 96 157 | 89 98
117 100 698 | 0 247
117 100 804 | 0 338
109 99 307 | 59 65
117 100 215 | 0 395
117 100 179 | 80 91
117 100 650 | 0 316
117 100 829 | 0 242
117 100 273 | 0 357
117 100 764 | 79 85
106 100 180 | 85 100
117 100 204 | 0 286
99 97 946 | 0 244
109 99 832 | 0 282
117 100 28 | 0 357
117 100 984 | 0 263
117 100 407 | 0 328
117 100 577 | 0 226
117 100 233 | 0 110
109 99 17 | 0 225
117 100 123 | 0 147
106 100 405 | 0 341
117 100 255 | 0 209
109 99 30 | 0 202
106 100 602 | 99 97
117 100 766 | 0 234
109 99 510 | 0 267
117 100 893 | 0 263
106 100 58 | 0 202
117 100 712 | 77 86
117 100 297 | 0 204
105 96 777 | 0 359
117 100 157 | 0 316
117 100 136 | 0 257
117 100 376 | 0 269
117 100 926 | 0 358
117 100 775 | 51 64
109 99 2 | 0 323
117 100 855 | 0 305
117 100 276 | 98 93
117 100 690 | 0 213
117 100 655 | 45 55
103 95 708 | 0 245
117 100 338 | 0 373
117 100 15 | 0 330
117 100 286 | 45 55
117 100 750 | 0 159
117 100 77 | 0 397
109 99 526 | 0 320
109 99 946 | 76 69
109 99 343 | 0 216
105 96 457 | 0 262
106 100 91 | 91 91
109 99 694 | 0 232
117 100 420 | 0 254
117 100 217 | 0 273
105 96 144 | 0 245
117 100 983 | 117 100
109 99 327 | 0 262
117 100 969 | 0 416
109 99 430 | 0 401
103 95 529 | 0 247
117 100 787 | 0 349
103 95 295 | 0 326
109 99 754 | 89 98
117 100 88 | 0 164
117 100 388 | 0 258
109 99 200 | 0 380
117 100 8 | 0 290
106 100 312 | 0 229
117 100 841 | 0 302
109 99 801 | 0 125
105 96 499 | 0 249
109 99 327 | 0 251
117 100 706 | 0 440
106 100 728 | 73 88
117 100 788 | 0 290
103 95 501 | 0 330
117 100 335 | 92 95
117 100 312 | 0 193
109 99 159 | 0 198
117 100 637 | 0 320
117 100 172 | 0 218
117 100 376 | 0 209
117 100 137 | 0 224
109 99 59 | 91 91
117 100 211 | 0 449
117 100 142 | 79 74
106 100 626 | 0 249
117 100 298 | 0 250
109 99 421 | 0 282
117 100 114 | 0 162
109 99 349 | 0 383
109 99 287 | 0 228
99 97 557 | 0 269
117 100 242 | 0 257
117 100 631 | 0 147
117 100 161 | 117 100
109 99 408 | 0 328
117 100 54 | 0 374
117 100 977 | 0 118
117 100 99 | 0 309
106 100 907 | 0 223
117 100 808 | 76 69
117 100 409 | 92 95
105 96 787 | 0 170
117 100 50 | 0 322
106 100 962 | 0 273
109 99 197 | 0 328
109 99 882 | 0 223
117 100 369 | 0 156
117 100 261 | 0 311
117 100 734 | 0 148
109 99 39 | 0 286
106 100 24 | 0 241
109 99 554 | 0 251
106 100 554 | 0 204
109 99 326 | 0 352
106 100 148 | 0 378
109 99 33 | 0 283
105 96 405 | 0 245
117 100 347 | 0 227
105 96 47 | 0 157
117 100 746 | 0 321
109 99 194 | 0 383
117 100 411 | 97 95
109 99 84 | 0 297
117 100 916 | 0 352
106 100 363 | 0 411
117 100 795 | 0 159
117 100 455 | 0 243
117 100 226 | 0 208
109 99 252 | 0 248
117 100 317 | 85 100
109 99 421 | 0 292
117 100 878 | 0 173
109 99 776 | 0 203
117 100 106 | 92 95
117 100 264 | 0 330
103 95 614 | 0 299
117 100 592 | 0 187
106 100 764 | 0 366
117 100 743 | 0 169
109 99 729 | 0 278
117 100 381 | 0 224
117 100 576 | 71 77
117 100 739 | 85 95
117 100 475 | 0 227
117 100 760 | 0 449
117 100 101 | 0 249
103 95 567 | 0 196
117 100 430 | 0 261
109 99 238 | 0 173
117 100 942 | 0 323
117 100 452 | 0 195
106 100 765 | 0 395
117 100 278 | 0 327
117 100 263 | 0 254
117 100 213 | 76 69
117 100 970 | 0 116
109 99 292 | 0 160
117 100 805 | 0 257
117 100 892 | 0 238
117 100 214 | 0 161
99 97 159 | 0 145
117 100 291 | 0 198
117 100 213 | 98 93
117 100 271 | 0 196
105 96 940 | 63 76
117 100 786 | 0 355
117 100 173 | 0 239
117 100 218 | 0 335
109 99 113 | 73 88
117 100 490 | 0 385
117 100 53 | 91 91
109 99 522 | 0 306
117 100 346 | 0 379
109 99 339 | 0 328
117 100 160 | 0 359
117 100 462 | 0 380
117 100 72 | 0 286
109 99 108 | 103 95
117 100 469 | 0 373
117 100 230 | 0 288
109 99 772 | 83 90
117 100 517 | 0 337
106 100 291 | 0 178
105 96 769 | 0 235
117 100 753 | 0 247
109 99 365 | 0 112
117 100 144 | 0 278
105 96 554 | 0 235
106 100 174 | 0 286
117 100 0 | 0 199
106 100 410 | 0 249
117 100 83 | 0 184
117 100 43 | 0 235
109 99 862 | 92 95
117 100 136 | 0 325
117 100 111 | 0 257
117 100 22 | 90 92
117 100 559 | 65 69
117 100 16 | 0 221
117 100 810 | 0 278
117 100 318 | 0 275
117 100 450 | 0 299
117 100 140 | 0 195
103 95 4 | 0 273
106 100 234 | 0 301
109 99 414 | 0 360
109 99 28 | 0 328
Media das Iteracoes: 426.173
Valor: 117 - Aparece 592 vezes
Valor: 109 - Aparece 223 vezes
Valor: 106 - Aparece 107 vezes
Valor: 105 - Aparece 36 vezes
Valor: 103 - Aparece 25 vezes
Valor: 99 - Aparece 10 vezes
Valor: 98 - Aparece 5 vezes
Valor: 97 - Aparece 2 vezes
Porcentagem de ocorrências do maior valor em relação a todos os outros: 59.2%

Temperatura inicial: 10000 | População inicial fixa em 0's
Função de resfriamento linear | 1000 execuções
106 100 751 | 0 221
117 100 254 | 0 278
106 100 749 | 0 312
109 99 382 | 71 77
109 99 921 | 72 71
117 100 422 | 0 294
103 95 322 | 0 262
117 100 504 | 0 294
117 100 848 | 0 327
117 100 302 | 59 52
109 99 704 | 77 73
117 100 196 | 0 276
109 99 992 | 109 99
117 100 129 | 0 337
109 99 782 | 87 93
117 100 74 | 0 211
117 100 40 | 63 76
109 99 947 | 0 337
117 100 944 | 0 273
105 96 948 | 0 422
117 100 323 | 0 261
109 99 52 | 0 280
117 100 730 | 90 92
117 100 592 | 0 249
117 100 6 | 0 133
109 99 880 | 0 227
117 100 510 | 0 212
117 100 120 | 0 189
117 100 514 | 66 67
117 100 230 | 0 178
117 100 481 | 0 314
109 99 720 | 0 206
117 100 174 | 0 390
109 99 24 | 0 304
117 100 244 | 0 187
109 99 528 | 0 308
117 100 770 | 0 284
117 100 16 | 0 378
117 100 756 | 0 449
117 100 603 | 0 325
117 100 985 | 0 294
117 100 814 | 0 337
117 100 42 | 0 142
117 100 674 | 0 359
117 100 714 | 0 304
117 100 464 | 0 325
109 99 63 | 0 306
97 95 132 | 0 189
109 99 542 | 0 216
106 100 607 | 0 197
106 100 7 | 0 271
109 99 842 | 0 208
109 99 716 | 0 307
117 100 456 | 0 219
109 99 242 | 59 65
117 100 582 | 0 264
117 100 64 | 0 122
117 100 634 | 0 324
106 100 339 | 0 170
117 100 86 | 0 264
106 100 415 | 77 73
117 100 764 | 0 138
109 99 210 | 0 240
117 100 478 | 0 243
117 100 444 | 0 273
117 100 793 | 0 254
117 100 296 | 0 302
117 100 554 | 0 272
109 99 668 | 0 244
105 96 955 | 0 237
109 99 524 | 0 418
117 100 346 | 0 309
117 100 496 | 0 171
105 96 292 | 0 223
117 100 722 | 0 138
109 99 463 | 0 286
117 100 386 | 0 240
109 99 121 | 0 314
109 99 488 | 0 471
117 100 770 | 103 95
117 100 520 | 0 249
109 99 488 | 0 416
109 99 458 | 0 316
117 100 328 | 0 227
109 99 606 | 0 247
117 100 671 | 0 290
105 96 82 | 0 222
117 100 880 | 0 298
109 99 2 | 0 202
99 97 925 | 87 93
117 100 502 | 0 349
109 99 742 | 0 402
106 100 404 | 0 325
117 100 24 | 0 176
106 100 185 | 0 169
117 100 198 | 0 187
117 100 130 | 0 255
109 99 592 | 79 85
109 99 477 | 0 277
117 100 440 | 0 208
117 100 432 | 0 375
117 100 24 | 0 346
103 95 130 | 0 274
103 95 384 | 0 323
117 100 334 | 0 237
109 99 198 | 73 70
117 100 764 | 0 394
117 100 738 | 0 193
117 100 645 | 89 98
117 100 574 | 0 262
117 100 348 | 91 91
109 99 34 | 0 304
109 99 452 | 0 176
109 99 712 | 0 328
117 100 12 | 0 401
117 100 92 | 0 267
106 100 961 | 0 278
117 100 290 | 91 91
106 100 475 | 0 285
109 99 170 | 0 349
109 99 520 | 91 91
117 100 550 | 0 335
109 99 571 | 0 202
117 100 796 | 109 99
103 95 664 | 0 250
117 100 170 | 0 221
106 100 384 | 0 160
117 100 134 | 0 310
117 100 92 | 83 90
117 100 138 | 0 307
106 100 361 | 0 190
106 100 679 | 0 352
117 100 200 | 0 155
103 95 854 | 0 204
109 99 580 | 83 90
109 99 60 | 0 206
117 100 236 | 0 376
117 100 393 | 0 300
109 99 344 | 0 243
117 100 179 | 106 100
